skype_image_date,skype_image_cpu_utilization,skype_image_total_power,skype_image_cpu_power,skype_image_gpu_power
2023-10-23 02:29:25,0.00927,31.47094,3.21094,28.26000
2023-10-23 02:29:26,0.01258,31.78312,3.20313,28.58000
2023-10-23 02:29:27,0.00923,31.62531,3.19531,28.43000
2023-10-23 02:29:28,0.01364,31.44750,3.18750,28.26000
2023-10-23 02:29:29,0.01275,31.64875,3.21875,28.43000
2023-10-23 02:29:38,0.12330,47.34344,5.52344,41.82000
2023-10-23 02:29:39,0.03378,46.00594,4.33594,41.67000
2023-10-23 02:29:40,0.07813,46.42812,4.57813,41.85000
2023-10-23 02:29:41,0.03397,46.11344,4.27344,41.84000
2023-10-23 02:29:42,0.02896,46.40500,4.37500,42.03000
2023-10-23 02:29:43,0.01080,46.05875,4.21875,41.84000
2023-10-23 02:29:44,0.00941,46.47969,4.17969,42.30000
2023-10-23 02:29:45,0.19794,48.18438,5.98438,42.20000
2023-10-23 02:29:46,0.10202,46.49250,4.81250,41.68000
2023-10-23 02:29:47,0.04966,46.18594,4.33594,41.85000
2023-10-23 02:29:48,0.05201,46.03812,4.32813,41.71000
2023-10-23 02:29:49,0.04798,46.34375,4.34375,42.00000
2023-10-23 02:29:50,0.00955,46.07656,4.22656,41.85000
2023-10-23 02:29:51,0.10619,47.16031,5.32031,41.84000
2023-10-23 02:29:52,0.03177,46.07656,4.22656,41.85000
2023-10-23 02:29:53,0.09799,47.16250,5.31250,41.85000
2023-10-23 02:29:54,0.05798,48.13750,4.68750,43.45000
2023-10-23 02:29:56,0.06000,46.65250,4.81250,41.84000
2023-10-23 02:29:57,0.05327,46.73938,4.35938,42.38000
2023-10-23 02:29:58,0.04983,39.25531,4.19531,35.06000
2023-10-23 02:29:59,0.02043,38.78656,3.72656,35.06000
2023-10-23 02:30:00,0.01933,38.83344,3.77344,35.06000
2023-10-23 02:30:01,0.01285,31.53563,3.26563,28.27000
2023-10-23 02:30:02,0.01049,31.45750,3.18750,28.27000
2023-10-23 02:30:03,0.00936,19.46969,2.92969,16.54000
2023-10-23 02:30:11,0.02007,39.76781,3.75781,36.01000
2023-10-23 02:30:12,0.09708,39.21844,4.14844,35.07000
2023-10-23 02:30:13,0.02206,38.89781,3.75781,35.14000
2023-10-23 02:30:14,0.01536,32.21125,3.78125,28.43000
2023-10-23 02:30:15,0.08844,32.49406,4.16406,28.33000
2023-10-23 02:30:16,0.09943,32.32250,4.06250,28.26000
2023-10-23 02:30:17,0.03448,19.39969,2.92969,16.47000
2023-10-23 02:30:18,0.04828,19.05594,2.83594,16.22000
2023-10-23 02:30:19,0.01124,21.76781,2.25781,19.51000
