element_image_date,element_image_cpu_utilization,element_image_total_power,element_image_cpu_power,element_image_gpu_power
2023-10-23 23:42:27,0.01084,16.03281,2.13281,13.90000
2023-10-23 23:42:28,0.10495,16.41969,3.17969,13.24000
2023-10-23 23:42:29,0.01841,14.98336,2.19336,12.79000
2023-10-23 23:42:30,0.10000,15.84242,3.23242,12.61000
2023-10-23 23:42:31,0.07783,45.82625,2.90625,42.92000
2023-10-23 23:42:32,0.03188,46.26445,4.56445,41.70000
2023-10-23 23:42:33,0.12911,48.34242,5.23242,43.11000
2023-10-23 23:42:34,0.02894,46.05117,4.20117,41.85000
2023-10-23 23:42:35,0.00856,46.00211,4.16211,41.84000
2023-10-23 23:42:36,0.02594,46.14664,4.30664,41.84000
2023-10-23 23:42:37,0.01173,45.99383,4.17383,41.82000
2023-10-23 23:42:38,0.02172,46.09391,4.25391,41.84000
2023-10-23 23:42:39,0.00673,46.18773,4.17773,42.01000
2023-10-23 23:42:48,0.12300,47.34820,5.15820,42.19000
2023-10-23 23:42:49,0.01676,46.26195,4.25195,42.01000
2023-10-23 23:42:50,0.01593,46.32016,4.16016,42.16000
2023-10-23 23:42:51,0.01009,46.14453,4.14453,42.00000
2023-10-23 23:42:52,0.01598,46.25023,4.24023,42.01000
2023-10-23 23:42:53,0.01830,46.20336,4.19336,42.01000
2023-10-23 23:42:54,0.02200,47.45117,4.20117,43.25000
2023-10-23 23:42:55,0.06181,46.55094,4.71094,41.84000
2023-10-23 23:42:56,0.01356,46.99430,4.15430,42.84000
2023-10-23 23:42:57,0.07233,46.30594,4.33594,41.97000
2023-10-23 23:42:58,0.03072,46.34312,4.20313,42.14000
2023-10-23 23:42:59,0.06543,46.16836,4.31836,41.85000
2023-10-23 23:43:00,0.01196,46.21117,4.20117,42.01000
2023-10-23 23:43:01,0.01004,45.99820,4.15820,41.84000
2023-10-23 23:43:02,0.01360,45.99453,4.14453,41.85000
2023-10-23 23:43:03,0.10287,47.07281,5.13281,41.94000
2023-10-23 23:43:04,0.01259,46.40414,4.24414,42.16000
2023-10-23 23:43:05,0.09183,47.00656,5.22656,41.78000
2023-10-23 23:43:06,0.04201,48.05445,4.56445,43.49000
2023-10-23 23:43:07,0.10392,47.55352,5.35352,42.20000
2023-10-23 23:43:08,0.14754,46.85563,4.76563,42.09000
